date,facebook,instagram
2021-06-17T00:00:00,121358,7277
2021-06-18T00:00:00,33764,26627
2021-06-19T00:00:00,152927,19154
2021-06-20T00:00:00,156276,43593
2021-06-21T00:00:00,37892,25655
2021-06-22T00:00:00,33928,19033
2021-06-23T00:00:00,28270,25001
2021-06-24T00:00:00,32070,11506
2021-06-25T00:00:00,30110,19459
2021-06-26T00:00:00,14285,26746
2021-06-27T00:00:00,35858,37828
2021-06-28T00:00:00,127877,25577
2021-06-29T00:00:00,232139,21847
2021-06-30T00:00:00,171685,39485
2021-07-01T00:00:00,135871,26414
2021-07-02T00:00:00,127836,22953
2021-07-03T00:00:00,154201,27203
2021-07-04T00:00:00,141221,12742
2021-07-05T00:00:00,50017,17254
2021-07-06T00:00:00,34538,16542
2021-07-07T00:00:00,47202,17705
2021-07-08T00:00:00,31267,7250
2021-07-09T00:00:00,37861,16728
2021-07-10T00:00:00,41634,15674
2021-07-11T00:00:00,48385,17656
2021-07-12T00:00:00,13641,25999
2021-07-13T00:00:00,25058,18537
2021-07-14T00:00:00,19258,18316
2021-07-15T00:00:00,25256,10460
2021-07-16T00:00:00,26651,7680
2021-07-17T00:00:00,20860,4142
2021-07-18T00:00:00,24199,20715
2021-07-19T00:00:00,7875,28981
2021-07-20T00:00:00,5660,14988
2021-07-21T00:00:00,22737,8460
2021-07-22T00:00:00,23108,31441
2021-07-23T00:00:00,40416,24888
2021-07-24T00:00:00,35955,25523
2021-07-25T00:00:00,31345,10623
2021-07-26T00:00:00,34904,12437
2021-07-27T00:00:00,33283,15930
2021-07-28T00:00:00,8966,20368
2021-07-29T00:00:00,6549,16460
2021-07-30T00:00:00,4744,10669
2021-07-31T00:00:00,23808,23529
2021-08-01T00:00:00,74417,43820
2021-08-02T00:00:00,20120,26466
2021-08-03T00:00:00,167925,22179
2021-08-04T00:00:00,263731,17397
2021-08-05T00:00:00,169698,20860
2021-08-06T00:00:00,120238,19774
2021-08-07T00:00:00,93568,29897
2021-08-08T00:00:00,95213,22772
2021-08-09T00:00:00,64557,17565
2021-08-10T00:00:00,69676,16956
2021-08-11T00:00:00,73335,18093
2021-08-12T00:00:00,52664,16227
2021-08-13T00:00:00,61056,11872
2021-08-14T00:00:00,54450,10604
2021-08-15T00:00:00,87201,30170
2021-08-16T00:00:00,86247,21363
2021-08-17T00:00:00,65684,15516
2021-08-18T00:00:00,81925,14370
2021-08-19T00:00:00,50016,4754
2021-08-20T00:00:00,36934,10726
2021-08-21T00:00:00,63079,5263
2021-08-22T00:00:00,44639,18862
2021-08-23T00:00:00,65128,10521
2021-08-24T00:00:00,54745,12636
2021-08-25T00:00:00,16394,11586
2021-08-26T00:00:00,12070,14098
2021-08-27T00:00:00,15225,21802
2021-08-28T00:00:00,28805,16460
2021-08-29T00:00:00,46543,18334
2021-08-30T00:00:00,24648,18483
2021-08-31T00:00:00,20659,19096
2021-09-01T00:00:00,35417,15284
2021-09-02T00:00:00,24233,22808
2021-09-03T00:00:00,17233,13468
2021-09-04T00:00:00,6540,14241
2021-09-05T00:00:00,5356,7322
2021-09-06T00:00:00,6428,20649
2021-09-07T00:00:00,11817,8270
2021-09-08T00:00:00,36390,24056
2021-09-09T00:00:00,31080,25583
2021-09-10T00:00:00,26066,24261
2021-09-11T00:00:00,19866,18186
2021-09-12T00:00:00,18478,15859
2021-09-13T00:00:00,42924,37117
2021-09-14T00:00:00,17447,21705
2021-09-15T00:00:00,7304,7968
2021-09-16T00:00:00,10792,9462
2021-09-17T00:00:00,5630,16013
2021-09-18T00:00:00,4203,28027
2021-09-19T00:00:00,26282,38149
2021-09-20T00:00:00,27874,22283
2021-09-21T00:00:00,50586,30304
2021-09-22T00:00:00,30870,28601
2021-09-23T00:00:00,33116,24003
2021-09-24T00:00:00,20426,8934
2021-09-25T00:00:00,27900,5073
2021-09-26T00:00:00,35974,7802
2021-09-27T00:00:00,44757,17274
2021-09-28T00:00:00,20070,7363
2021-09-29T00:00:00,43973,21994
2021-09-30T00:00:00,29529,10727
2021-10-01T00:00:00,27391,22968
2021-10-02T00:00:00,45834,16292
2021-10-03T00:00:00,59487,23443
2021-10-04T00:00:00,29676,16056
2021-10-05T00:00:00,43436,17923
2021-10-06T00:00:00,34463,14046
2021-10-07T00:00:00,65928,25177
2021-10-08T00:00:00,42317,14361
2021-10-09T00:00:00,49140,17736
2021-10-10T00:00:00,34978,11622
2021-10-11T00:00:00,20646,38107
2021-10-12T00:00:00,39258,21184
2021-10-13T00:00:00,39480,15753
2021-10-14T00:00:00,63158,18791
2021-10-15T00:00:00,37474,19138
2021-10-16T00:00:00,27107,17949
2021-10-17T00:00:00,65934,38183
2021-10-18T00:00:00,34310,19114
2021-10-19T00:00:00,36278,18530
2021-10-20T00:00:00,61057,31798
2021-10-21T00:00:00,27462,20246
2021-10-22T00:00:00,44696,22680
2021-10-23T00:00:00,29703,14877
2021-10-24T00:00:00,32535,6209
2021-10-25T00:00:00,41882,12353
2021-10-26T00:00:00,18504,3412
2021-10-27T00:00:00,30153,12437
2021-10-28T00:00:00,25621,21113
2021-10-29T00:00:00,39358,12334
2021-10-30T00:00:00,39836,12402
2021-10-31T00:00:00,44725,17275
2021-11-01T00:00:00,27338,11082
2021-11-02T00:00:00,47056,22499
2021-11-03T00:00:00,43788,23798
2021-11-04T00:00:00,37747,17223
2021-11-05T00:00:00,60396,32057
2021-11-06T00:00:00,74978,21603
2021-11-07T00:00:00,79807,21209
2021-11-08T00:00:00,48080,8617
2021-11-09T00:00:00,58018,12503
2021-11-10T00:00:00,43441,5805
2021-11-11T00:00:00,64710,15527
2021-11-12T00:00:00,52035,19357
2021-11-13T00:00:00,46399,12687
2021-11-14T00:00:00,53938,17908
2021-11-15T00:00:00,32076,14007
